"filename", "language", "JavaScript", "CSS", "JSON with Comments", "JSON", "Markdown", "HTML", "XML", "comment", "blank", "total"
"d:\work\website\src\components\footer.js", "JavaScript", 367, 0, 0, 0, 0, 0, 0, 0, 4, 371
"d:\work\website\src\components\founder_message.js", "JavaScript", 282, 0, 0, 0, 0, 0, 0, 1, 1, 284
"d:\work\website\src\components\header_desc.js", "JavaScript", 610, 0, 0, 0, 0, 0, 0, 0, 6, 616
"d:\work\website\src\components\header_title.js", "JavaScript", 52, 0, 0, 0, 0, 0, 0, 0, 1, 53
"d:\work\website\src\components\home_blogs.js", "JavaScript", 96, 0, 0, 0, 0, 0, 0, 0, 2, 98
"d:\work\website\src\components\image_slider.js", "JavaScript", 289, 0, 0, 0, 0, 0, 0, 1, 3, 293
"d:\work\website\src\components\loader.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 1, 27
"d:\work\website\src\components\nav_drawer.js", "JavaScript", 206, 0, 0, 0, 0, 0, 0, 1, 11, 218
"d:\work\website\src\components\navbar.js", "JavaScript", 122, 0, 0, 0, 0, 0, 0, 0, 1, 123
"d:\work\website\src\components\openings.js", "JavaScript", 390, 0, 0, 0, 0, 0, 0, 0, 3, 393
"d:\work\website\src\components\our_feature.js", "JavaScript", 134, 0, 0, 0, 0, 0, 0, 0, 2, 136
"d:\work\website\src\components\our_team.js", "JavaScript", 332, 0, 0, 0, 0, 0, 0, 0, 2, 334
"d:\work\website\src\components\play_icon.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 1, 28
"d:\work\website\src\components\play_icon_black.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 1, 28
"d:\work\website\src\components\scroll_effect_content.js", "JavaScript", 248, 0, 0, 0, 0, 0, 0, 0, 1, 249
"d:\work\website\src\components\testimonial_view.js", "JavaScript", 72, 0, 0, 0, 0, 0, 0, 0, 1, 73
"d:\work\website\src\components\testimonials.js", "JavaScript", 128, 0, 0, 0, 0, 0, 0, 1, 1, 130
"d:\work\website\src\components\work_together.js", "JavaScript", 115, 0, 0, 0, 0, 0, 0, 0, 1, 116
"d:\work\website\src\firebase.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 9, 22
"d:\work\website\src\helpers\colors.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 1, 21
"d:\work\website\src\helpers\config.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"d:\work\website\src\helpers\text_writer.js", "JavaScript", 66, 0, 0, 0, 0, 0, 0, 2, 17, 85
"d:\work\website\src\index.css", "CSS", 0, 97, 0, 0, 0, 0, 0, 1, 24, 122
"d:\work\website\src\index.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 2, 20
"d:\work\website\src\pages\about-us.js", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 0, 2, 35
"d:\work\website\src\pages\blog-details.js", "JavaScript", 39, 0, 0, 0, 0, 0, 0, 0, 4, 43
"d:\work\website\src\pages\blogs.js", "JavaScript", 136, 0, 0, 0, 0, 0, 0, 0, 3, 139
"d:\work\website\src\pages\career.js", "JavaScript", 65, 0, 0, 0, 0, 0, 0, 0, 1, 66
"d:\work\website\src\pages\home.js", "JavaScript", 51, 0, 0, 0, 0, 0, 0, 0, 1, 52
"d:\work\website\src\pages\privacy-policy.js", "JavaScript", 158, 0, 0, 0, 0, 0, 0, 0, 2, 160
"d:\work\website\src\pages\terms_conditions.js", "JavaScript", 158, 0, 0, 0, 0, 0, 0, 0, 2, 160
"d:\work\website\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"d:\work\website\src\setupTests.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 4, 1, 6
"d:\work\website\web.code-workspace", "JSON with Comments", 0, 0, 7, 0, 0, 0, 0, 0, 0, 7
"Total", "-", 6571, 97, 7, 18602, 38, 20, 844, 60, 256, 26495
